"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"4","Practice","0","","0","0","Security","0"
"1","App - Orders","0","","0","0","OrderSummary","0"
"0","Practice","0","","2","0","Mock","0"
"2","Practice","1","","0","0","ContractTesting","0"
"3","App - users","0","","0","0","Create user","0"
"10","Practice","0","","0","0","Matchers","0"
"2","Practice","0","","0","0","TestContainers","0"
"3","Practice","0","","0","0","Currency","0"
"2","App - Products","0","","0","0","TestContainers","0"
"3","App - Products","0","","0","0","Currency","0"
"1","App - users","0","","0","0","Import users","0"
"1","Practice","0","","0","0","WireMock","0"
"1","App - Products","0","","0","0","WireMock","0"
